,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-02-26,0.49516,0.755,0.3401,0.41292,0.49516,0.755,0.3401,0.41292,42997070360.8,42997070360.8
1,2021-01-31,0.21953,0.5178,0.21084,0.49507,0.21953,0.5178,0.21084,0.49507,43010851037.2,43010851037.2
2,2020-12-31,0.66378,0.681,0.17351,0.21959,0.66378,0.681,0.17351,0.21959,41486760832.8,41486760832.8
3,2020-11-30,0.2396,0.78068,0.22772,0.66417,0.2396,0.78068,0.22772,0.66417,21961294136.8,21961294136.8
4,2020-10-31,0.24172,0.26357,0.22829,0.23968,0.24172,0.26357,0.22829,0.23968,4889380415.1,4889380415.1
5,2020-09-30,0.28115,0.304,0.21944,0.24171,0.28115,0.304,0.21944,0.24171,5247413190.9,5247413190.9
6,2020-08-31,0.25938,0.32689,0.2476,0.28115,0.25938,0.32689,0.2476,0.28115,10548893588.5,10548893588.5
7,2020-07-31,0.17533,0.26042,0.172,0.25939,0.17533,0.26042,0.172,0.25939,6007812785.1,6007812785.1
8,2020-06-30,0.20241,0.2147,0.169,0.17533,0.20241,0.2147,0.169,0.17533,2950092000.9,2950092000.9
9,2020-05-31,0.21135,0.22667,0.178,0.20245,0.21135,0.22667,0.178,0.20245,4027279018.1,4027279018.1
10,2020-04-30,0.17359,0.2359,0.16783,0.21135,0.17359,0.2359,0.16783,0.21135,4616526273.5,4616526273.5
11,2020-03-31,0.22897,0.24629,0.10129,0.17353,0.22897,0.24629,0.10129,0.17353,8903293506.5,8903293506.5
12,2020-02-29,0.23947,0.34676,0.22271,0.22892,0.23947,0.34676,0.22271,0.22892,7128673325.2,7128673325.2
13,2020-01-31,0.19285,0.25456,0.1845,0.23946,0.19285,0.25456,0.1845,0.23946,3904624780.4,3904624780.4
14,2019-12-31,0.22549,0.232,0.175,0.19295,0.22549,0.232,0.175,0.19295,2175034489.2,2175034489.2
15,2019-11-30,0.29459,0.3149,0.20013,0.2255,0.29459,0.3149,0.20013,0.2255,2893450142.0,2893450142.0
16,2019-10-31,0.25659,0.312,0.24159,0.29452,0.25659,0.312,0.24159,0.29452,3766988684.0,3766988684.0
17,2019-09-30,0.25747,0.32631,0.21333,0.2566,0.25747,0.32631,0.21333,0.2566,3148158833.1,3148158833.1
18,2019-08-31,0.3195,0.331,0.243,0.25747,0.3195,0.331,0.243,0.25747,1772167773.1,1772167773.1
19,2019-07-31,0.39637,0.42298,0.286,0.31959,0.39637,0.42298,0.286,0.31959,2815323572.6,2815323572.6
20,2019-06-30,0.43849,0.50999,0.37,0.3962,0.43849,0.50999,0.37,0.3962,4662373312.4,4662373312.4
21,2019-05-31,0.30855,0.479,0.29061,0.43851,0.30855,0.479,0.29061,0.43851,5131023824.1,5131023824.1
22,2019-04-30,0.30889,0.37999,0.28455,0.3087,0.30889,0.37999,0.28455,0.3087,2906182663.2,2906182663.2
23,2019-03-31,0.31386,0.32555,0.29,0.30889,0.31386,0.32555,0.29,0.30889,1573473043.5,1573473043.5
24,2019-02-28,0.3092,0.34777,0.28809,0.3139,0.3092,0.34777,0.28809,0.3139,2260644351.4,2260644351.4
25,2019-01-31,0.34864,0.37963,0.28089,0.30911,0.34864,0.37963,0.28089,0.30911,1913026551.4,1913026551.4
26,2018-12-31,0.36492,0.45,0.2805,0.34849,0.36492,0.45,0.2805,0.34849,3097036552.1,3097036552.1
27,2018-11-30,0.45418,0.56878,0.32802,0.36466,0.45418,0.56878,0.32802,0.36466,3739086165.0,3739086165.0
28,2018-10-31,0.58257,0.6059,0.37685,0.45418,0.58257,0.6059,0.37685,0.45418,3093911100.5,3093911100.5
29,2018-09-30,0.3353,0.8,0.25261,0.58257,0.3353,0.8,0.25261,0.58257,4453105914.24,4453105914.24
30,2018-08-31,0.4353,0.46382,0.24672,0.3353,0.4353,0.46382,0.24672,0.3353,1534444827.25,1534444827.25
31,2018-07-31,0.46797,0.52525,0.4236,0.4353,0.46797,0.52525,0.4236,0.4353,1059865082.4,1059865082.4
